https://fragalysis.diamond.ac.uk/viewer/react/projects/312/279,,,,,
smiles,name,compound_set,red,red-text,blue
CCc1ccc2c(C)cnc(NC)c2c1O,CHIKV_Mac-5T3F,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOc1c(O)ccc2nn(N)c(C)c12,CHIKV_Mac-D57X,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOc1cccc2[nH]nc(CC)c12,CHIKV_Mac-9ST4,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Cc1n[nH]c(C)c1C(=O)O[C@](C)(O)N(C)C,CHIKV_Mac-CXMP,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOc1c(O)ccc2nn(N)c(CC)c12,CHIKV_Mac-4MVX,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CCC[C@@H](C)n1c(N)nc2cccc(O)c21,CHIKV_Mac-D6GV,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC[C@H]1CCCCc2c1c(C)nn2O,CHIKV_Mac-44XE,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CCOC(=O)c1c(C(N)=O)n[nH]c1C,CHIKV_Mac-7HWW,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CNC(=O)c1cccc2cc(C(N)=O)[nH]c12,CHIKV_Mac-65DE,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC(=O)NC1=CC=C2C=C(C(N)=O)N=C21,CHIKV_Mac-53DK,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
C[C@H]1CCCc2ccc3cc[nH]c3c2[C@H]1O,CHIKV_Mac-63N5,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
c1ccc2c(c1)Nn1ccc3cccc-2c31,CHIKV_Mac-XXW9,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CN/C(=N/N)c1cc(COC)cc2cc[nH]c12,CHIKV_Mac-CTAD,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CNC(=O)c1cc(CCO)cc2cc[nH]c12,CHIKV_Mac-6TLV,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Fc1ccc2nc3c4c(cccc4c2c1)C=C3,CHIKV_Mac-9XRY,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CNC(=O)c1cc(Br)cc2cc[nH]c12,CHIKV_Mac-JNZP,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CNC(=O)c1ccc(O)c2cc[nH]c12,CHIKV_Mac-H4FA,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cnc2ccc3cc[nH]c3c2c1O,CHIKV_Mac-5STH,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1ccc2ccccc2n1,CHIKV_Mac-6NJA,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1[nH]c2ccccc2c1Br,CHIKV_Mac-6G4Z,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1nc2ccccc2n1Br,CHIKV_Mac-5D4K,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COCc1cc(N)nc(C)c1Br,CHIKV_Mac-CDTL,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COCc1onc(C(N)=O)c1Br,CHIKV_Mac-463F,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1ccc2ncccc2n1,CHIKV_Mac-95LV,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC(C)c1nc(N)ccc1Br,CHIKV_Mac-ATN7,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC(C)c1nc(O)ccc1Br,CHIKV_Mac-D9UX,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1nc(N)c2ccccc2c1Br,CHIKV_Mac-5CT7,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1nc(N)cc(CCO)c1Br,CHIKV_Mac-CLMJ,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cc2ccccc2nc1N,CHIKV_Mac-AVLC,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
