https://fragalysis.diamond.ac.uk/viewer/react/projects/320/287,,,,,
smiles,name,compound_set,red,red-text,blue
COCC(=O)N[C@@H]1COc2ccc(CO)cc21,CHIKV_Mac-5UMA,Fstein_pures_arg144-2024-04-08-A,,,TRUE
O[C@@H]1Oc2cc(-c3ccn[nH]3)ccc2N1Nc1ccccc1,CHIKV_Mac-ACSG,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNN1COc2ccc(-c3ccn[nH]3)cc21,CHIKV_Mac-CAMC,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CN[C@](O)(Oc1[nH]c(N)c2ccccc12)c1cccc2cc[nH]c12,CHIKV_Mac-C9Z6,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
NCNc1cc(OCO)ccc1-c1ccn[nH]1,CHIKV_Mac-4WA4,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Clc1c(-c2ccn[nH]2)ccc2c1OCO2,CHIKV_Mac-DEJN,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Oc1ccc(NN2COc3cc(-c4ccn[nH]4)ccc32)cc1,CHIKV_Mac-45Y6,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
OCN1COc2ccc(-c3ccn[nH]3)cc21,CHIKV_Mac-5YUK,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cn(C)c2c(C(=O)NC)cccc12,CHIKV_Mac-4L5G,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)c1cn(C)c2c(C(=O)NC)cccc12,CHIKV_Mac-CGSC,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)c1cccc2c(NS(=O)(=O)c3ccc(N)cc3)c[nH]c12,CHIKV_Mac-AMKP,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nn1c(=O)c2c(C)cc(C)nc2n1C,CHIKV_Mac-XTTX,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
c1cc2c3cc4c(cc3[nH]n2n1)OCO4,CHIKV_Mac-6EYX,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cccc2c(C(=O)Nc3ccccc3)c[nH]c12,CHIKV_Mac-75E9,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cccc2c(C(=O)Nc3ccccc3)c[nH]c12,CHIKV_Mac-9M7N,Fstein_pures_arg144-2024-04-08-A,,,TRUE
COCC(=O)NN1C(=O)c2c(C)cc(C)nc2[C@@]1(C)O,CHIKV_Mac-DL4M,Fstein_pures_arg144-2024-04-08-A,,,TRUE
Oc1cc2c(cc1-c1ccn[nH]1)OCO2,CHIKV_Mac-9Z34,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CN(C)C(=O)Cn1nc(CNc2ccccc2)c2ccccc21,CHIKV_Mac-6D3L,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CN(C)C(=O)Cn1nc(CNc2ccccc2)c2ccccc21,CHIKV_Mac-6J79,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCC[C@]12NCCc1ccccc12,CHIKV_Mac-4KC4,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
OCc1c(-c2ccn[nH]2)ccc2c1OCO2,CHIKV_Mac-GRT7,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCC[C@@]12[C@@H](COC)ON[C@H]2C(N)=O,CHIKV_Mac-9DEF,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCC[C@@]12[C@@H](COC)ON[C@H]2C(N)=O,CHIKV_Mac-R9H9,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccc(N[C@@H]2CCC[C@H]2CO)cc1C,CHIKV_Mac-4RVH,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1sc(N[C@@H]2CCC[C@H]2CO)nc1C,CHIKV_Mac-XR9F,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCC[C@@]2(C1)[C@@H](C(N)=O)CNN2CCO,CHIKV_Mac-AJWM,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCC[C@@]2(C1)[C@@H](C(N)=O)CNN2CCO,CHIKV_Mac-CGGH,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
NN1COc2ccc(-c3ccn[nH]3)cc21,CHIKV_Mac-6E4J,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
O=C1CC[C@@H](NC(=O)c2csc(S(=O)(=O)Nc3ccccn3)n2)CN1,CHIKV_Mac-7FZ7,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNc1cnc2cccc(C(=O)Nc3ccccc3)c2n1,CHIKV_Mac-CD96,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNc1cnc2cccc(C(=O)Nc3ccccc3)c2n1,CHIKV_Mac-5ASP,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCC[C@]12CCC[C@H](c1cc[nH]n1)C2,CHIKV_Mac-99XR,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)NN1COc2ccc(-c3ccn[nH]3)cc21,CHIKV_Mac-D9EH,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1cccc(C(=O)NCc2cccs2)c1,CHIKV_Mac-ADX9,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
C(=N\c1cccc2[nH]cnc12)\Nc1ccccc1,CHIKV_Mac-CMZW,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
O=C(Nc1ccccc1)c1cc(Cl)c2[nH]cnc2c1,CHIKV_Mac-A4SC,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
O=C(Nc1ccccc1)c1cc(Cl)c2nc[nH]c2c1,CHIKV_Mac-9KDE,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1ccc(S(=O)(=O)Nc2ccccc2O)cc1,CHIKV_Mac-9CVD,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1ccc(S(=O)(=O)Nc2cccc(O)n2)cc1,CHIKV_Mac-ANW9,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
O=C(Nc1ccccc1)c1c(CO)cc2c(c1O)OCC2,CHIKV_Mac-4DF4,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCC[C@]12C(=O)NCC[C@@H]2Br,CHIKV_Mac-5XL3,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCC[C@]12C(=O)NCC[C@@H]2Br,CHIKV_Mac-4XXP,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cc1cccc(O)c1Nc1ccccc1,CHIKV_Mac-4RSL,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COc1ccccc1C(=O)Nc1ccccc1,CHIKV_Mac-CN3A,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccccc1N,CHIKV_Mac-DUPD,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccnc(N)n1,CHIKV_Mac-C9JP,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Oc1cnccc1Nc1ccccc1,CHIKV_Mac-9P4L,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1ncccc1Nc1ccccc1,CHIKV_Mac-5D57,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@@H]1CCCC[C@@]12CCCNC2,CHIKV_Mac-9HJK,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCNc2cccnc21,CHIKV_Mac-99HJ,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cc1c[nH]c2cccc(C(=O)Nc3ccccc3)c12,CHIKV_Mac-7MR3,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)C1=CC2=C(C)C(=O)c3c2c1cc1cc[nH]c31,CHIKV_Mac-4DRM,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cn2c3c(c4[nH]ccc4cc13)C(=O)[C@H]2C,CHIKV_Mac-4TLS,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1ccc(NS(=O)(=O)c2ccc(N)cc2)c2cc[nH]c12,CHIKV_Mac-7FN6,Fstein_pures_arg144-2024-04-08-A,,,TRUE
COCC(=O)N[C@H]1CCCC[C@@]12c1c(ncn1C)N(C)C(=O)N2C,CHIKV_Mac-A4KA,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCC[C@@]12CCC[C@H](N)N2,CHIKV_Mac-CYPF,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccccc1N,CHIKV_Mac-4C6W,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1cccc2c1[C@H](C(N)=O)CCC[C@H]2Cl,CHIKV_Mac-CHRJ,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCC[C@]12CCCC[C@@H]2CO,CHIKV_Mac-66Z5,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
O=C(Nc1ccccc1)c1ccc(CO)c2c1OCCO2,CHIKV_Mac-4N5Z,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
OCc1cccc2c1O[C@](O)(Nc1ccccc1)CO2,CHIKV_Mac-DGDG,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCC[C@@]12CCNC2,CHIKV_Mac-9KXM,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Oc1nc2[nH]ccc2cc1Nc1ccccc1,CHIKV_Mac-ASRF,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
O=C(Nc1ccccc1)c1ccc2ccnc-2n1O,CHIKV_Mac-CDVR,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Oc1c(Nc2ccccc2)ncc2ccccc12,CHIKV_Mac-5DSF,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1nccc2cc(Nc3ccccc3)c(O)cc12,CHIKV_Mac-AE5A,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CCCCC12CCCCC2,CHIKV_Mac-7XZR,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
NC(=O)c1ccc(C(=O)Nc2ccccc2)cc1O,CHIKV_Mac-CKF9,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
NC(=O)c1ccc(C(=O)Nc2ccccc2)cc1O,CHIKV_Mac-A9XR,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1ccc(N)c2cc[nH]c12,CHIKV_Mac-64RD,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CN(C)C(=O)CN[C@@]1(O)c2scnc2CN[C@@H]1c1cn(C)c2ccccc12,CHIKV_Mac-DAHP,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CN(C)[C@@]1(O)C[S@]1(C)CC[C@@H]1C=C(NCS)[C@@]1(O)Nc1ccccn1,CHIKV_Mac-7PA3,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)NC[C@H]1CCCC2=C1NCS2,CHIKV_Mac-ARY5,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cn(O)c2cc3c(cc12)OCC3,CHIKV_Mac-6XTT,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)[C@H]1C[C@@H](CO)c2cc3ccoc3cc21,CHIKV_Mac-4HUT,Fstein_pures_arg144-2024-04-08-A,,,TRUE
Nc1ccc(S(=O)(=O)Nc2cc(CO)cc3c2OCC3)cc1,CHIKV_Mac-C9RC,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cn(CC(=O)N(C)C)c2ccccc12,CHIKV_Mac-66UU,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cn1cc(CNCc2nccc3ccccc23)c2ccccc21,CHIKV_Mac-5VTN,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cn1cc(CCNc2nccc3ccccc23)c2ccccc21,CHIKV_Mac-9P74,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)C1=Cc2c(C)cnc3cccc1c23,CHIKV_Mac-53VE,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)c1cn2c3c(cccc13)NC=C2NC,CHIKV_Mac-D5YE,Fstein_pures_arg144-2024-04-08-A,,,TRUE
Cn1cc(CNN2COc3ccc(-c4cc[nH]n4)cc32)c2ccccc21,CHIKV_Mac-4DUJ,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)[C@H]1C[C@]2(NNC[S@@H]2C)[C@@H]2C[C@@H]3OC[C@@H](C[C@@H]12)O3,CHIKV_Mac-A4P4,Fstein_pures_arg144-2024-04-08-A,,,TRUE
Cn1cc(C(=O)NCn2nccc2C(=O)NCc2cccs2)c2ccccc21,CHIKV_Mac-69KA,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cn(C)c2ccc(N)cc12,CHIKV_Mac-9C65,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)C1=CN(C)N=c2c(C(=O)NC)cccc2=C1,CHIKV_Mac-C4LC,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)c1cn(C)c2cc(Cl)ccc12,CHIKV_Mac-7DAP,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)n1cc(C)c2c(Cl)cccc21,CHIKV_Mac-CKAP,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cn(C)c2c(Cl)c3nc[nH]c3cc12,CHIKV_Mac-ASVT,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)C1=c2cc3c(c(Cl)c2C(C)=C1)=NC=N3,CHIKV_Mac-7TXX,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cn1cc(Cc2ccc(O)cc2)c2ccccc21,CHIKV_Mac-9RSR,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CCCCc1c(C(=O)NC)cn(CO)c1CC,CHIKV_Mac-CRLD,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cccc2c(O)c(C(=O)Nc3ccccc3)[nH]c12,CHIKV_Mac-C4YH,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CN/C(=N/c1c(Br)cc[nH]c1=O)c1cn(C)c2ccccc12,CHIKV_Mac-56EE,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cn(C)c2cc(N)ccc12,CHIKV_Mac-C3XN,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CN(C)/C(=N\C=N/O)c1cn(C)c2ccccc12,CHIKV_Mac-7YXL,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cn1cc(C2=N[C@H]3Nc4cccnc4C[C@H]3N2)c2ccccc21,CHIKV_Mac-DMWP,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CCCc1ccc([C@H](CNC)C(=O)NC)cc1,CHIKV_Mac-7VSH,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)c1cn(C)c2cc(N)ccc12,CHIKV_Mac-7AUC,Fstein_pures_arg144-2024-04-08-A,,,TRUE
C[C@H]1C(=O)N(C)/C(=C\NCc2cn(C)c3ccccc23)[C@@H]2[C@H]1NCN2C,CHIKV_Mac-6AXF,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)c1cccc2c(O)c(C(=O)Nc3ccc(O)cc3)[nH]c12,CHIKV_Mac-47SD,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cn1cc(CNCc2cccc3ccc(N)nc23)c2ccccc21,CHIKV_Mac-CHGG,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cn(C)c2cc(N)ccc12,CHIKV_Mac-CA36,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CNC(=O)c1cn(C)c2cc(C(N)=O)ccc12,CHIKV_Mac-D9JJ,Fstein_pures_arg144-2024-04-08-A,,,TRUE
Cn1cc([C@H]2NC[C@H]3CC[C@H](Cl)[C@H]3[C@]2(N)O)c2ccccc21,CHIKV_Mac-9UGF,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1cn(C)c2cc(CO)ccc12,CHIKV_Mac-4C53,Fstein_pures_arg144-2024-04-08-A,,,TRUE
