https://fragalysis.diamond.ac.uk/viewer/react/projects/311/278,,,,,
smiles,name,compound_set,red,red-text,blue
NC(=O)c1scc(C(=O)N[C@@H]2CCC(=O)NC2)c1Cl,CHIKV_Mac-D4K5,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H](CCc1nc(Cn2ccccc2=O)no1)C(N)=NO,CHIKV_Mac-9WVW,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H](CCc1nc(Cn2ccccc2=O)no1)C(N)=NO,CHIKV_Mac-CNTN,Fstein_pures_others_-2024-04-05-A,,,TRUE
C[C@@H](c1nc(Cn2ccccc2=O)no1)c1cnc(N)c2ccccc12,CHIKV_Mac-5WFH,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H]1C[C@H](C)N[C@H]2[C@H]1C(=O)NN2CCc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-44UT,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1cc(C)c2c(n1)C(CCc1nc(Cn3ccccc3=O)no1)=NC2=O,CHIKV_Mac-AWX4,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=c1ccccn1Cc1noc(C2=C(NCc3cccs3)c3ccnn3C2)n1,CHIKV_Mac-E4NV,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2cc(N(C)C(=O)COc3cccc(F)c3)ccc2=O)no1,CHIKV_Mac-P5AC,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2cc(N(C)C(=O)COc3cccc(F)c3)ccc2=O)no1,CHIKV_Mac-7XXW,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H](c1nc(Cn2ccccc2=O)no1)c1nccc2ccccc12,CHIKV_Mac-TUUX,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN(c1nc(Cn2ccccc2=O)no1)c1nccc2ccccc12,CHIKV_Mac-CMPU,Fstein_pures_others_-2024-04-05-A,TRUE,red,
