SMILES,ID,r_i_docking_score,Product,Similarity_to_query,BB,Reaction_name,BB_source,BB_URL,mw,logp,hba,hbd,tpsa,qed,num_rotatable_bonds,fsp3,esol,pka,logd,cns_mpo_score,stoplight_color,plot_color
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@H](CCC(=O)OC(C)(C)C)C(=O)[O-])cs1,enum-018729,-8.09375,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@H](CCC(=O)OC(C)(C)C)C(=O)O)cs1,0.55,CC(C)(C)OC(=O)CC[C@@H](N)C(=O)O,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-183004,450.517,2.015,7,4,150.48,0.427,9,0.45,143.352,2.381,0.518,3.353,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@H](O)CNC(=O)OC(C)(C)C)cs1,enum-016240,-8.09309,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@H](O)CNC(=O)OC(C)(C)C)cs1,0.56,CC(C)(C)OC(=O)NC[C@@H](O)CN,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1708797,437.522,1.325,7,5,145.44,0.421,8,0.474,573.245,2.381,1.82,3.446,yellow,gold
COC[C@H](NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)c1cccc(C(F)(F)F)c1,enum-037926,-8.0857,COCC(NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)c1cccc(C(F)(F)F)c1,0.49,COCC(N)c1cccc(C(F)(F)F)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-80253,466.485,3.846,5,3,96.11,0.47,8,0.286,8.788,2.373,3.302,3.128,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@](C)(CO)COc2ccccc2)cs1,enum-018097,-8.08428,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C)(CO)COc2ccccc2)cs1,0.55,CC(N)(CO)COc1ccccc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1707907,428.514,2.269,6,4,116.34,0.417,9,0.286,134.544,2.385,1.954,3.633,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](CC2CCOCC2)c2ccccc2)cs1,enum-030677,-8.08309,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(CC2CCOCC2)c2ccccc2)cs1,0.52,NC(CC1CCOCC1)c1ccccc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-129811,452.58,3.997,5,3,96.11,0.481,8,0.375,11.208,2.407,3.025,3.291,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@@H](O)c2ccc(C(C)(C)C)cc2)cs1,enum-014388,-8.07114,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(O)c2ccc(C(C)(C)C)cc2)cs1,0.56,CC(C)(C)c1ccc(C(O)CN)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-79324,440.569,3.471,5,4,107.11,0.451,7,0.348,14.655,2.405,3.093,3.073,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@H](c2ccc(C(C)(C)C)cc2)C(F)(F)F)cs1,enum-019169,-8.06813,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(c2ccc(C(C)(C)C)cc2)C(F)(F)F)cs1,0.55,CC(C)(C)c1ccc(C(N)C(F)(F)F)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-44298,478.54,5.041,4,3,86.88,0.464,6,0.348,0.656,2.398,3.945,2.348,yellow,gold
COc1ccc([C@H](O)[C@@H](C)NC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1,enum-019433,-8.04955,COc1ccc(C(O)C(C)NC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1,0.55,COc1ccc(C(O)C(C)N)cc1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-119361,428.514,2.57,6,4,116.34,0.44,8,0.286,53.228,2.39,2.488,3.389,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@H](C)c2ccc(S(C)(=O)=O)cc2)cs1,enum-010578,-8.04437,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C)c2ccc(S(C)(=O)=O)cc2)cs1,0.57,CC(N)c1ccc(S(C)(=O)=O)cc1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-15205,446.554,2.604,6,3,121.02,0.515,7,0.25,53.229,2.39,2.252,3.423,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@@](C)(O)c2ccc(F)cc2)cs1,enum-015367,-8.03995,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(C)(O)c2ccc(F)cc2)cs1,0.56,CC(O)(CN)c1ccc(F)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-118152,416.478,2.486,5,4,107.11,0.475,7,0.25,47.448,2.398,2.236,3.909,yellow,gold
